"","doc_id","word","candidate"
"506","2024-11-01","knock","Donald Trump"
"507","2024-11-01","win","Donald Trump"
"508","2024-11-01","majority","Donald Trump"
"509","2024-11-01","show","Donald Trump"
"510","2024-11-01","chief","Donald Trump"
"511","2024-11-01","Donald","Donald Trump"
"512","2024-11-01","win","Donald Trump"
"513","2024-11-01","win","Donald Trump"
"514","2024-11-01","era","Donald Trump"
"515","2024-11-01","attempt","Donald Trump"
"516","2024-11-01","win","Donald Trump"
"517","2024-11-01","year","Donald Trump"
"518","2024-11-01","go","Donald Trump"
"519","2024-11-01","Donald","Donald Trump"
"520","2024-11-01","call","Donald Trump"
"521","2024-11-01","have","Donald Trump"
"522","2024-11-01","win","Donald Trump"
"523","2024-11-01","lose","Donald Trump"
"524","2024-11-01","indictment","Donald Trump"
"525","2024-11-01","endorsement","Donald Trump"
"526","2024-11-01","win","Donald Trump"
"527","2024-11-01","start","Donald Trump"
"528","2024-11-01","nominee","Donald Trump"
"529","2024-11-01","look","Donald Trump"
"530","2024-11-01","beat","Donald Trump"
"531","2024-11-01","nominate","Donald Trump"
"532","2024-11-01","renomination","Donald Trump"
"533","2024-11-01","renomination","Donald Trump"
"534","2024-11-01","fill","Donald Trump"
"535","2024-11-01","dream","Donald Trump"
"536","2024-11-01","turn","Donald Trump"
"537","2024-11-01","sell","Donald Trump"
"538","2024-11-01","go","Donald Trump"
"539","2024-11-01","follow","Donald Trump"
"540","2024-11-01","lost","Donald Trump"
"541","2024-11-01","win","Donald Trump"
"542","2024-11-01","campaign","Donald Trump"
"543","2024-11-01","win","Donald Trump"
"544","2024-11-01","Donald","Donald Trump"
"545","2024-11-01","want","Donald Trump"
"546","2024-11-01","Donald","Donald Trump"
"547","2024-11-01","position","Donald Trump"
"548","2024-11-01","race","Donald Trump"
"549","2024-11-01","think","Donald Trump"
"550","2024-11-01","go","Donald Trump"
"551","2024-11-01","indictment","Donald Trump"
"552","2024-11-01","take","Donald Trump"
"553","2024-11-01","say","Donald Trump"
"554","2024-11-01","ballot","Donald Trump"
"555","2024-11-01","presidency","Donald Trump"
"556","2024-11-01","Donald","Donald Trump"
"557","2024-11-01","put","Donald Trump"
"558","2024-11-01","era","Donald Trump"
"559","2024-11-01","win","Donald Trump"
"560","2024-11-01","lost","Donald Trump"
"561","2024-11-01","n’t","Donald Trump"
"562","2024-11-01","not","Donald Trump"
"563","2024-11-01","react","Donald Trump"
"564","2024-11-01","talk","Donald Trump"
"565","2024-11-01","have","Donald Trump"
"566","2024-11-01","era","Donald Trump"
"567","2024-11-01","put","Donald Trump"
"568","2024-11-01","knock","Donald Trump"
"569","2024-11-01","win","Donald Trump"
"570","2024-11-01","majority","Donald Trump"
"571","2024-11-01","show","Donald Trump"
"572","2024-11-01","chief","Donald Trump"
